1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2002:Q3,-57602,284,20383,-6993,-54409,-14597,-6983,0,-7614,57172,6736,-80672,14495,-3058,-11437
2002:Q4,7336,-282,1878,1395,24678,10450,2414,0,8036,148831,-19419,-127791,-32404,33067,-663
2003:Q1,172071,-60,33158,-15761,40068,-510,3602,0,-4112,-113509,-25583,192755,61512,-64657,3144
2003:Q2,339685,134,41724,-10118,73366,2782,-556,0,3338,10021,23314,190167,8295,-22097,13803
2003:Q3,47296,-185,-41281,19421,795,-16159,-8741,0,-7418,34662,-10940,57464,3520,8261,-11780
2003:Q4,-127467,-196,27889,-450,-16829,4932,-3211,0,8142,97942,-33656,-149746,-57353,58594,-1241
2004:Q1,25810,-97,26210,-514,-29705,9275,19058,0,-9783,-57403,-10608,41115,47537,-50434,2897
2004:Q2,33655,11,50257,19252,-52588,-257,-527,0,270,-53259,3627,61015,5596,-18499,12903
2004:Q3,101283,-66,9547,-1099,97567,2734,2949,0,-215,9613,19321,-54042,17708,-3777,-13931
2004:Q4,-13452,-125,42812,3575,8179,6276,6433,0,-157,95370,-14661,-103378,-51499,48975,2524
2005:Q1,81937,88,82802,2702,68149,-5188,-5339,0,151,-63931,-38678,-32307,68299,-68258,-42
2005:Q2,-96998,200,-54972,-10594,125826,-1649,-2111,0,462,-38544,24866,-150006,7875,-22964,15089
2005:Q3,-191722,415,13402,3616,-28139,1421,1297,0,124,837,1169,-173304,-11139,20071,-8932
2005:Q4,-481502,-30,-39087,5162,-55174,242,-442,0,684,46887,-30433,-391890,-17179,18628,-1450
2006:Q1,88550,-1195,80897,-5044,77212,-1532,-617,0,-915,-63422,-20027,-82488,104148,-110749,6601
2006:Q2,-81007,78,100661,9801,92564,-328,-804,0,476,5115,38158,-351549,24494,-39792,15298
2006:Q3,73789,156,35184,18350,118415,1033,1516,0,-483,37716,25523,-227985,65398,-50299,-15099
2006:Q4,-188979,-123,-18037,-23755,15184,-2211,-3050,0,839,160438,-15740,-310438,5703,-3501,-2202
2007:Q1,-74228,-63,45449,-1449,43187,-353,985,0,-1337,-58403,-53778,-142729,93910,-101022,7112
2007:Q2,207067,-481,127231,-3875,11913,-1521,-1922,0,401,-30660,25130,67274,12055,-27410,15355
