1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2013:Q1,6269744,30581,2951,45837,3616,821346,41770,196704,107388,1935,473549,9375,2053219,81978,3220841,3110934,109907,6398741
2013:Q2,6499478,28960,3299,42851,3380,811198,39049,192468,100677,2290,476714,8967,2055993,96217,3448613,3338983,109630,6628316
2013:Q3,6721160,30006,3422,44616,3520,816189,40658,187458,100379,2300,485394,7470,2146169,107578,3562190,3452394,109796,6857958
2013:Q4,6941435,33778,3855,50415,3977,836350,45942,181275,99466,2310,507357,6416,2246766,117814,3642064,3533384,108680,7087203
2014:Q1,7027348,32899,3760,49333,3892,854203,44956,184304,103373,2319,519251,7359,2226300,131076,3718526,3607514,111012,7177608
2014:Q2,7109668,31555,3610,47562,3752,902361,43342,198331,113032,2329,545327,9479,2293029,143707,3674613,3561988,112625,7268588
2014:Q3,7204640,32217,3176,45784,3612,907431,41721,198738,113110,2329,551533,7662,2268488,150935,3785335,3676103,109232,7360300
2014:Q4,7296510,36022,3101,48743,3845,910478,44418,199249,113248,2330,551233,8152,2283589,167065,3835515,3722699,112816,7452241
2015:Q1,7370526,36450,2640,46612,3677,900857,42476,176744,100268,2330,579039,8720,2339626,181085,3850859,3736113,114746,7526651
2015:Q2,7447704,41152,2667,50923,4017,900791,46405,185671,105202,2330,561183,9180,2338699,188718,3911557,3799887,111670,7601962
2015:Q3,7535207,38799,2450,48436,3821,879613,44138,170999,98102,2395,563979,9413,2199783,187848,4165044,4054152,110892,7678111
2015:Q4,7613517,38737,2381,48782,3848,880744,44454,174546,101326,2460,557958,8017,2249974,192377,4188657,4075347,113310,7754366
2016:Q1,7689158,36961,2201,47008,3708,901110,42838,170358,100166,2525,585223,8421,2253409,189138,4247202,4136071,111131,7826010
2016:Q2,7762256,40473,2364,51778,4085,908845,47184,184977,109663,2589,564432,9181,2242570,213484,4289476,4164201,125275,7897614
2016:Q3,7845587,38352,2490,53922,4254,910204,49138,203821,106204,2614,548427,18179,2301148,218654,4298384,4161186,137198,7969769
2016:Q4,7931074,40613,2871,61671,4865,892949,56200,218760,100431,2638,514920,14533,2321541,222220,4369811,4221631,148180,8041801
2017:Q1,8009955,34988,2792,59332,4680,907304,54068,239543,98121,2662,512910,10390,2414005,234757,4341707,4177281,164426,8111204
2017:Q2,8090022,30407,2774,58329,4601,922509,53154,262833,97299,2687,506536,8268,2491333,243268,4328533,4150223,178310,8181063
2017:Q3,8163764,31050,2713,60201,4749,934592,54860,266534,99841,3029,510328,4154,2594443,255365,4276497,4090343,186154,8251351
2017:Q4,8236514,30212,2517,59232,4673,955036,53977,289412,109483,3372,498792,6901,2706807,264039,4207097,4015608,191489,8321431
2018:Q1,8307021,30629,2435,60671,4786,976072,55288,300086,114607,3714,502377,7440,2668510,277381,4279097,4078851,200246,8385827
