1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1988:Q4,-71291,-66137,-22039,30262,-2946,13442,461,3438,10848,-26,-212,422,5782,-914,327,0,-2599,-130,-2307,-1648,-23873
1989:Q1,11315,7379,8517,4674,-346,-34284,-601,-14700,-3353,132,-1223,-2704,-3150,-1585,-692,0,-971,-923,-2880,-1635,25374
1989:Q2,-578,20131,9216,-10275,-20526,-6073,-846,6256,2949,-30,-73,-2582,-972,-1712,-197,0,-4217,-570,-2448,-1633,6950
1989:Q3,5682,-2141,22390,14719,4555,-44438,-1190,-598,-20265,-31,-224,-6282,-1699,-1510,981,0,-9228,-4,-2669,-1720,10596
1989:Q4,5500,-53202,20330,27746,-10705,13521,856,-1119,8563,-32,1014,3173,3920,-1355,-409,0,884,602,-825,-1750,7811
1990:Q1,-104730,-75793,17956,-5677,-6631,-22553,-466,-7248,-7554,-19,-329,-2357,-6040,-502,-405,0,1765,352,-270,520,-12032
1990:Q2,-14936,-12232,3818,-21831,-11765,8565,-1165,7912,-1096,-17,163,-1131,1418,8,-977,0,3487,795,-1483,652,18508
1990:Q3,-70675,-55515,-11173,-5837,7123,-276,-951,15996,-973,-15,-326,-2586,-9276,-284,-925,0,-1913,806,-443,614,-4998
1990:Q4,-62742,-81180,2333,15810,-8538,-9124,123,-2966,-5083,-109,151,-6267,3433,-410,-1283,0,4555,-614,-605,-49,17956
1991:Q1,-12144,-62945,41913,412,-3475,-8011,1641,25319,-11045,31,-83,-1312,-20852,1262,-1020,0,-4301,748,-1521,3121,19960
1991:Q2,-48281,21852,-13943,-13823,-5922,5982,-1688,18567,-20185,39,205,-6785,-3545,648,-325,0,16554,411,-1097,3181,-42428
1991:Q3,8468,-33692,20220,9331,7522,-3398,-2035,-4789,10619,37,-60,-4394,-2201,386,-746,0,-900,327,-1629,1986,8485
1991:Q4,46592,-38252,25584,19190,1904,29662,1230,3167,-6669,-1,165,1589,23041,335,-271,0,4574,443,-1236,3295,8504
1992:Q1,-13255,-83291,119689,9877,-6487,-19589,-260,-21243,9074,-34,446,-1427,-8233,696,-49,0,-2063,-499,318,3686,-33454
1992:Q2,37889,21152,13517,-10262,-7455,19807,-1326,11583,5938,-35,107,-249,-4792,920,-818,0,7595,-406,-1197,2488,1130
1992:Q3,-45360,-56912,16921,3413,-487,-5444,1679,17189,-13495,-36,171,-19338,-2023,865,-177,0,5116,332,917,3355,-2851
1992:Q4,4570,-31372,5263,31026,-14602,31349,354,4620,3568,-39,440,-2351,15433,605,-547,0,5751,1226,-475,2765,-17095
1993:Q1,-36153,-22388,19788,-10234,12485,-30995,-453,-17640,-7127,-118,243,-4559,-9886,1318,140,0,3290,475,1574,1747,-4809
1993:Q2,-24361,-11677,-24890,-5768,6285,-6354,127,5719,173,-119,244,-3362,-10869,1455,343,0,-2938,600,1164,1110,18042
1993:Q3,-54637,-31330,-15214,2381,5713,-7389,-804,-9937,-688,-99,99,-7269,-38,1026,-286,0,6392,2869,1039,307,-8798
1993:Q4,-42245,-13607,-14122,26490,-14251,-6591,462,-10384,1011,-84,391,3255,2089,345,100,0,-10112,5101,1112,123,-20164
